ID_CI,NTRA_CI,FHA_DE_INI,HRA_DE_INI,RMEN_DE_HCHOS
318cbe22-d1d7-420a-a61c-096d07077008,318cbe22-d1d7-420a-a61c-096d07077008,2025-04-01,03:06:00,
285c4a9e-e1b6-4e2a-b2c5-dab837c39982,285c4a9e-e1b6-4e2a-b2c5-dab837c39982,2025-04-01,09:42:00,
beaae77c-ef36-4018-a897-2b0c94096622,beaae77c-ef36-4018-a897-2b0c94096622,2025-04-01,13:51:00,
ed10fdba-2406-458a-afe6-74b987e6d6df,ed10fdba-2406-458a-afe6-74b987e6d6df,2025-04-01,18:30:00,
3ae3616a-6c87-467f-a503-d747443983dd,3ae3616a-6c87-467f-a503-d747443983dd,2025-04-01,21:56:00,
130e44dc-5ff8-4eca-a37a-f13fb44fe395,130e44dc-5ff8-4eca-a37a-f13fb44fe395,2025-04-02,05:03:00,
623c142c-487c-43da-b406-e63c4d58a106,623c142c-487c-43da-b406-e63c4d58a106,2025-04-02,16:20:00,
15fb3a86-03c2-4136-bd12-9e61bedb37ea,15fb3a86-03c2-4136-bd12-9e61bedb37ea,2025-04-02,16:41:00,
e40058b6-9e6d-4c81-a610-c5f872735545,e40058b6-9e6d-4c81-a610-c5f872735545,2025-04-02,19:21:00,
aa027a97-2cc0-4c13-acdd-7901b5de3ccd,aa027a97-2cc0-4c13-acdd-7901b5de3ccd,2025-04-02,22:16:00,
dfba239d-e525-45d7-b88d-cd3aa523faf4,dfba239d-e525-45d7-b88d-cd3aa523faf4,2025-04-03,16:21:00,
b158e788-adf8-4c1a-bbe6-6f0cf78bed2b,b158e788-adf8-4c1a-bbe6-6f0cf78bed2b,2025-04-03,21:14:00,
ea11cc2d-afeb-40bd-8efe-63c07f2df81c,ea11cc2d-afeb-40bd-8efe-63c07f2df81c,2025-04-04,00:09:00,
8557a6cc-7449-4551-b94f-7e8b32d8d9d7,8557a6cc-7449-4551-b94f-7e8b32d8d9d7,2025-04-04,16:21:00,
e440d58b-025c-4073-89dd-5c8c32b39244,e440d58b-025c-4073-89dd-5c8c32b39244,2025-04-04,17:39:00,
88d378d0-7744-418f-8718-58db19efa46a,88d378d0-7744-418f-8718-58db19efa46a,2025-04-05,00:41:00,
f535dc89-528b-427c-b1c1-6fd60623daec,f535dc89-528b-427c-b1c1-6fd60623daec,2025-04-05,01:50:00,
0c8ff36b-9022-4306-9508-430c18336071,0c8ff36b-9022-4306-9508-430c18336071,2025-04-05,06:49:00,
e2b6230e-f1b8-42b4-a176-34aaecddedf2,e2b6230e-f1b8-42b4-a176-34aaecddedf2,2025-04-05,22:36:00,
c51124f8-026d-43b2-86c4-fcbfd9b6651c,c51124f8-026d-43b2-86c4-fcbfd9b6651c,2025-04-05,23:40:00,
78fb2fc4-7f94-4db7-af53-80573633eac3,78fb2fc4-7f94-4db7-af53-80573633eac3,2025-04-06,00:38:00,
40823eb5-d9d0-4966-ae1c-ee3d3d747a6c,40823eb5-d9d0-4966-ae1c-ee3d3d747a6c,2025-04-06,03:08:00,
6e210930-14d1-4fc0-bba5-ef9d018a0cc5,6e210930-14d1-4fc0-bba5-ef9d018a0cc5,2025-04-06,08:15:00,
51afc2db-9466-4153-950f-d3ad54e97d5e,51afc2db-9466-4153-950f-d3ad54e97d5e,2025-04-06,16:03:00,
bdbce55f-f57e-48b4-b037-49e14cfb6e83,bdbce55f-f57e-48b4-b037-49e14cfb6e83,2025-04-07,19:34:00,
c0b188c5-c422-4062-96c9-7629f9adeef8,c0b188c5-c422-4062-96c9-7629f9adeef8,2025-04-08,10:23:00,
2abaacfa-c98e-4ed3-bd7f-a749d6a4a0ff,2abaacfa-c98e-4ed3-bd7f-a749d6a4a0ff,2025-04-08,14:13:00,
c4de8bf5-0eb3-42e5-8065-828dcd96cc11,c4de8bf5-0eb3-42e5-8065-828dcd96cc11,2025-04-08,15:40:00,
63e8ebcf-b270-4e4f-b6fd-43b1a09399b1,63e8ebcf-b270-4e4f-b6fd-43b1a09399b1,2025-04-08,20:13:00,
81c1b9e2-4764-421d-854e-64913ebcad5b,81c1b9e2-4764-421d-854e-64913ebcad5b,2025-04-08,23:57:00,
a6e65ab6-bc4a-4d98-b281-7fc72e092cb7,a6e65ab6-bc4a-4d98-b281-7fc72e092cb7,2025-04-09,10:52:00,
d41173d8-8a70-48a3-b408-14ee14de1a0a,d41173d8-8a70-48a3-b408-14ee14de1a0a,2025-04-09,12:35:00,
d86feeae-c995-4248-a4af-7d5a46c153e9,d86feeae-c995-4248-a4af-7d5a46c153e9,2025-04-10,00:53:00,
64a0413a-7e33-47f2-ab63-f51dc1f4fb56,64a0413a-7e33-47f2-ab63-f51dc1f4fb56,2025-04-10,13:35:00,
e5cfab3d-6a67-46c9-8476-24096181e9ca,e5cfab3d-6a67-46c9-8476-24096181e9ca,2025-04-11,00:39:00,
f39d0696-552c-4671-b4d0-c3498453323d,f39d0696-552c-4671-b4d0-c3498453323d,2025-04-11,10:17:00,
eaf4a7c0-0097-49b7-bcdf-366af04cde99,eaf4a7c0-0097-49b7-bcdf-366af04cde99,2025-04-11,21:35:00,
43ea8a8d-5119-444a-9729-c811e0ce76aa,43ea8a8d-5119-444a-9729-c811e0ce76aa,2025-04-12,07:58:00,
192f4977-5b78-490f-b8df-c4de978f6deb,192f4977-5b78-490f-b8df-c4de978f6deb,2025-04-12,10:16:00,
cc5239a2-b14c-4cab-adf3-de78aeefabfa,cc5239a2-b14c-4cab-adf3-de78aeefabfa,2025-04-12,18:48:00,
a8e03e6b-9487-4baa-b875-54b2e98541fb,a8e03e6b-9487-4baa-b875-54b2e98541fb,2025-04-13,13:21:00,
f4d29096-ff1c-4a93-b76a-f680450adccb,f4d29096-ff1c-4a93-b76a-f680450adccb,2025-04-14,07:04:00,
ad84d1ad-413f-4858-98ce-f3f8864bc03a,ad84d1ad-413f-4858-98ce-f3f8864bc03a,2025-04-14,18:41:00,
b155704e-9850-45fa-b938-c8382966f9b3,b155704e-9850-45fa-b938-c8382966f9b3,2025-04-14,20:31:00,
4d1f6318-b552-458d-85f0-f4a3ecfcb90f,4d1f6318-b552-458d-85f0-f4a3ecfcb90f,2025-04-14,23:33:00,
e6ae7753-7194-4880-8507-46e0f6100546,e6ae7753-7194-4880-8507-46e0f6100546,2025-04-15,19:35:00,
3b7a63ef-4f51-448a-8760-744db0447e29,3b7a63ef-4f51-448a-8760-744db0447e29,2025-04-15,20:01:00,
0314bdd8-94ef-4e3a-a21f-7c1455847566,0314bdd8-94ef-4e3a-a21f-7c1455847566,2025-04-16,00:25:00,
b99ae8a2-434e-4595-9ad0-9bae43821c23,b99ae8a2-434e-4595-9ad0-9bae43821c23,2025-04-16,15:15:00,
5f0d78ba-1584-4733-b68d-81a8f8244020,5f0d78ba-1584-4733-b68d-81a8f8244020,2025-04-17,05:52:00,
