ID_CI,NTRA_CI,FHA_DE_INI,HRA_DE_INI,RMEN_DE_HCHOS
36065,CI-1-2025-120,2025-06-02,12:53:00,"SE INICIA POR EL DELITO DE VIOLENCIA FAMILIAR "
36068,CI-1-2025-121,2025-06-02,20:51:00,"INCUMPLIMIENTO OBLIGACION ALIMENTARIA"
36075,CI-1-2025-122,2025-06-05,20:11:00,"SE INICIA POR EL DELITO DE PRIVACION ILEGAL DE LA LIBERTAD "
36077,CI-1-2025-123,2025-06-06,13:11:00,LESIONES
36082,CI-1-2025-124,2025-06-09,13:05:00,"VIOLENCIA FAMILIAR "
36083,CI-1-2025-125,2025-06-09,18:58:00,"SE INICIA POR EL DELITO DE VIOLENCIA FAMILIAR "
36092,CI-1-2025-126,2025-06-10,21:07:00,"LESIONES CALIFICADAS Y AMENAZAS"
36093,CI-1-2025-127,2025-06-10,23:24:00,"ROBO CON VIOLENCIA "
36097,CI-1-2025-128,2025-06-11,14:07:00,"FRAUDE "
36084,CI-1-2025-129,2025-06-09,19:57:00,"SE INICIA POR LA DESAPARICION DEL C. JOSE RUBEN JESUS CHI CHI "
36099,CI-1-2025-130,2025-06-11,21:16:00,"SE INICIA POR AVISO TELEFONICO "
36103,CI-1-2025-131,2025-06-13,09:57:00,"ROBO A COMERCIO "
36106,CI-1-2025-132,2025-06-14,00:48:00,"SE INICIA POR EL DELITO DE NARCOMENUDEO"
36110,CI-1-2025-133,2025-06-16,10:54:00,"VIOLENCIA FAMILIAR"
36114,CI-1-2025-134,2025-06-16,12:46:00,"SE INICIA POR EL DELITO  LESIONES CALIFICADAS "
36115,CI-1-2025-135,2025-06-16,13:40:00,"SUSTRACCION DE MENORES Y ALLANAMIENTO DE MORADA"
36116,CI-1-2025-136,2025-06-16,13:49:00,"SE INICIA POR EL DELITO DE LESIONES CALIFICADAS  "
36117,CI-1-2025-137,2025-06-16,14:20:00,"LESIONES CALIFICADAS"
36122,CI-1-2025-138,2025-06-17,10:55:00,"ALLANAMIENTO DE MORADA"
36124,CI-1-2025-139,2025-06-17,18:53:00,"SE INICIA POR EL DELITO DE ABIGEATO  "
36129,CI-1-2025-140,2025-06-19,10:31:00,"SE INICIA POR EL DELITO DE LESIONES A TITULO DOLOSO "
36131,CI-1-2025-141,2025-06-19,19:57:00,DESPOJO
