ID_CI,ID_DELITO,ID_VICF,ID_TV,ID_TPM,SEXO,GENERO,POB,DISC,FHA_NAC,EDAD,NACIONAL
36065,35638,39002,1,,2,2,3,3,2004-11-08,20,174
36068,35641,39007,1,,2,2,3,3,,0,174
36075,35648,39019,1,,1,1,3,3,1987-06-11,37,174
36077,35650,39021,1,,1,1,3,3,1973-04-23,52,174
36082,35655,39026,1,,2,2,3,3,,32,73
36083,35656,39028,1,,2,2,3,3,,25,73
36084,35657,39030,1,,1,1,3,3,1967-07-06,57,73
36092,35664,39038,1,,2,2,3,3,,44,73
36092,35665,39038,1,,2,2,3,3,,44,73
36093,35666,39039,1,,1,1,3,3,,0,174
36097,35670,39044,1,,1,1,3,3,,48,73
36099,35671,39046,1,,2,2,3,3,,0,174
36103,35675,39050,1,,1,1,3,3,,52,73
36106,35678,473380,3,2,,,,,,,
36110,35682,39059,1,,1,1,3,3,1993-08-10,31,174
36114,35687,39066,1,,2,2,3,3,1974-05-30,51,174
36115,35688,39068,1,,2,2,3,3,1997-11-14,27,174
36115,35689,39068,1,,2,2,3,3,1997-11-14,27,174
36116,35690,39070,1,,2,2,3,3,1987-02-03,38,174
36117,35691,39072,1,,2,2,3,3,2000-10-24,24,174
36122,35696,39081,1,,2,2,3,3,1986-03-19,39,174
36122,35697,39081,1,,2,2,3,3,1986-03-19,39,174
36124,35699,39083,1,,1,1,3,3,1996-08-15,28,174
36129,35703,39088,1,,2,2,3,3,1977-02-10,48,174
36131,35705,39092,1,,1,1,3,3,1958-07-23,66,174
37137,36711,40104,1,,2,2,3,3,1977-07-10,47,174
37140,36714,40108,1,,2,2,3,3,1982-03-13,43,174
37145,36720,40115,1,,1,1,3,3,,0,174
37147,36722,40118,1,,2,2,3,3,1997-09-14,27,174
37155,36730,40128,1,,2,2,3,3,1989-02-05,36,174
37157,36732,40132,1,,1,1,3,3,1973-01-08,52,174
435201,322229,490064,1,,1,1,3,3,2025-06-01,0,174
435205,322233,490071,1,,1,1,3,3,,0,174
435207,322235,473380,3,2,,,,,,,
435208,322236,490091,1,,1,1,3,3,,0,174
435209,322237,490077,1,,1,1,3,3,,0,174
435209,322238,490077,1,,1,1,3,3,,0,174
435210,322239,490079,1,,1,1,3,3,,0,174
435210,322240,490079,1,,1,1,3,3,,0,174
435211,322241,473380,3,2,,,,,,,
435250,322280,473382,1,,1,1,3,3,,49,174
435250,322281,473382,1,,1,1,3,3,,49,174
435286,322316,490177,1,,1,1,3,3,,0,174
435316,322347,490213,1,,1,1,3,3,,0,174
435333,322363,490232,1,,1,1,3,3,,0,174
435340,322370,473381,2,1,,,4,4,,,
435345,322375,490244,1,,1,1,3,3,,0,174
