ID_CI,ID_DELITO,ID_VICF,ID_TV,ID_TPM,SEXO,GENERO,POB,DISC,FHA_NAC,EDAD,NACIONAL
45359,44957,48418,1,,1,1,3,3,1991-12-15,33,174
45359,47483,71727,1,,1,1,3,3,1987-02-12,31,174
45363,44961,48423,1,,1,1,3,3,1984-04-06,41,174
45365,44963,48427,1,,2,2,3,3,1998-04-08,27,174
45365,44964,48427,1,,2,2,3,3,1998-04-08,27,174
45369,44968,48432,1,,2,2,3,3,1984-03-02,41,174
45373,44972,473575,3,2,,,4,4,,,
45379,44980,48446,1,,1,1,3,3,1980-04-10,45,174
46381,45982,49448,1,,2,2,3,3,2001-04-24,24,174
47385,46986,473576,1,,1,1,3,3,,999,174
48391,47992,473577,1,,2,2,3,3,,999,174
48392,47993,51463,1,,1,1,3,3,2002-05-25,23,174
48395,47996,51468,1,,1,1,3,3,1988-11-27,36,174
48395,47997,51468,1,,1,1,3,3,1988-11-27,36,174
49396,48998,52469,1,,1,1,3,3,,0,174
50396,49998,53469,1,,1,1,3,3,2005-11-13,19,174
50398,50000,53472,1,,1,1,3,3,1993-06-28,32,174
50413,50015,53492,1,,2,2,3,3,,67,73
50419,50021,53500,1,,2,2,3,3,1987-04-24,38,174
50420,50022,53502,1,,1,1,3,3,1970-07-28,55,174
50425,50027,53509,1,,1,1,3,3,,3,73
50428,50030,53514,1,,2,2,3,3,1994-10-26,30,174
50429,50031,53516,1,,1,1,3,3,1982-03-08,43,174
53438,53040,56527,1,,1,1,3,3,1988-03-01,37,174
53438,53041,56527,1,,1,1,3,3,1988-03-01,37,174
439617,326860,496218,1,,2,2,3,3,1993-04-16,32,174
439664,326910,496276,3,2,,,4,4,,,
439665,326911,473636,1,,2,2,3,3,,15,174
439665,326912,473637,3,4,,,4,4,,,
439666,326915,496281,3,2,,,4,4,,,
439722,326977,496346,3,2,,,4,4,,,
439741,326996,496365,1,,1,1,3,3,,999,174
439745,327000,473638,1,,1,1,3,3,,0,174
439798,327055,473415,2,1,,,4,4,,,
439808,327065,473639,1,,1,1,3,3,,26,174
439814,327070,496455,2,1,,,4,4,,,
439816,327073,496459,3,2,,,4,4,,,
439817,327074,496461,1,,2,2,3,3,,20,174
439817,327075,496461,1,,1,1,3,3,,0,174
439859,327123,473640,1,,1,1,3,3,,0,174
439920,327186,496587,1,,2,2,3,3,,14,174
439943,327208,496618,2,1,,,4,4,,,
439948,327214,496623,2,1,,,4,4,,,
439956,327222,496631,1,,1,1,3,3,,0,174
439956,327223,496631,1,,1,1,3,3,,0,174
439960,327227,473641,1,,1,1,3,3,,26,174
439970,327239,473642,1,,2,2,3,3,,40,174
439984,327253,496664,1,,2,2,3,3,1974-06-11,51,73
439988,327257,496673,1,,1,1,3,3,,0,174
