ID_CI,ID_DELITO,ID_VICF,ID_TV,ID_TPM,SEXO,GENERO,POB,DISC,FHA_NAC,EDAD,NACIONAL
10101945,1010194500061,44835640,1,,2,2,3,3,,45,73
10101946,1010194600169,44835644,1,,2,2,3,3,,37,73
10101947,1010194700218,44835645,1,,1,1,3,3,,43,73
10101948,1010194800218,44835648,1,,2,2,3,3,,23,73
10101951,1010195100052,44835657,1,,1,1,3,3,,34,73
10101952,1010195200239,44835658,1,,1,1,3,3,,32,73
10101953,1010195300061,44835659,1,,2,2,3,3,,43,73
10101955,1010195500218,44835665,1,,1,1,3,3,,39,73
10101956,1010195600020,44835667,1,,2,2,3,3,,999,73
10101957,1010195701239,44835670,1,,1,1,3,3,,31,73
10101958,1010195800116,44835720,1,,1,1,3,3,,999,73
10101959,1010195900218,44835674,1,,1,1,3,3,,27,73
10101960,1010196000085,44835675,1,,2,2,3,3,,42,73
10101962,1010196200218,44835678,1,,2,2,3,3,,28,73
10101963,1010196301213,44835680,2,6,,,4,4,,,
10101964,1010196400170,44835688,1,,1,1,3,3,,70,73
10101965,1010196500174,44835683,1,,2,2,3,3,,66,73
10101966,1010196600020,44835685,1,,2,2,3,3,,999,73
10101967,1010196700239,44835692,1,,1,1,3,3,,22,73
10101969,1010196900168,44835703,1,,1,1,3,3,,27,73
10101970,1010197000218,44835704,1,,1,1,3,3,,26,73
10101971,1010197100179,44835719,2,6,,,4,4,,,
10101972,1010197200218,44835708,1,,2,2,3,3,,51,73
10101974,1010197400020,44835743,1,,2,2,3,3,,999,73
10101975,1010197500041,44835717,1,,2,2,3,3,,42,73
10101977,1010197700020,44835737,1,,1,1,3,3,,999,73
10101980,1010198000168,44835749,1,,1,1,3,3,,32,73
10101981,1010198100218,44835750,1,,2,2,3,3,,999,73
10101982,1010198200055,44835752,1,,1,1,3,3,,52,73
10101984,1010198400050,44835779,2,6,,,4,4,,,
10101985,1010198500041,44835760,1,,1,1,3,3,,24,73
10101986,1010198600041,44835770,1,,2,2,3,3,,30,73
10101987,1010198700038,44835771,1,,1,1,3,3,,40,73
10101989,1010198900038,44835774,1,,2,2,3,3,,29,73
10101990,1010199001249,44835780,1,,2,2,3,3,,39,59
10101992,1010199200020,44835787,1,,1,1,3,3,,18,73
10101993,1010199300015,44835790,1,,1,1,3,3,,65,73
10101993,1010199300015,44848628,1,,2,2,3,3,,65,73
10101995,1010199501205,44835795,2,6,,,4,4,,,
10101996,1010199600020,44835801,1,,2,2,3,3,,48,73
10101997,1010199700034,44835936,2,6,,,4,4,,,
10101999,1010199901205,44835808,2,6,,,4,4,,,
10102001,1010200100083,44835817,1,,2,2,3,3,,999,73
10102002,1010200201243,44835821,2,6,,,4,4,,,
10102004,1010200400179,44835822,1,,1,1,3,3,,54,73
10102005,1010200500007,44835823,1,,2,2,3,3,,26,73
10102006,1010200600055,44835826,1,,1,1,3,3,,46,73
10102007,1010200700061,44835827,1,,1,1,3,3,,59,73
10102009,1010200900218,44835833,1,,2,2,3,3,,28,73
10102010,1010201000083,44835835,1,,1,1,3,3,,999,73
10102011,1010201100061,44835836,1,,2,2,3,3,,33,73
10102011,1010201100061,44835837,1,,1,1,3,3,,999,73
10102012,1010201201249,44835838,1,,1,1,3,3,,19,73
10102013,1010201300055,44835842,1,,1,1,3,3,,31,73
10102014,1010201400059,44835887,1,,2,2,3,3,,65,73
10102015,1010201500218,44835843,1,,2,2,3,3,,34,73
10102016,1010201600218,44835847,1,,2,2,3,3,,24,73
10102017,1010201700028,44835849,1,,1,1,3,3,,32,73
10102018,1010201800048,44835850,1,,1,1,3,3,,34,73
10102019,1010201900118,44835851,1,,2,2,3,3,,999,73
10102021,1010202100050,44835854,2,6,,,4,4,,,
10102022,1010202200218,44835856,1,,2,2,3,3,,5,73
10102023,1010202300061,44835860,1,,2,2,3,3,,69,73
10102025,1010202500050,44835871,1,,2,2,3,3,,35,73
10102027,1010202700218,44835876,1,,1,1,3,3,,26,73
10102028,1010202800009,44836363,1,,2,2,3,3,,999,73
10102029,1010202900170,44835882,1,,2,2,3,3,,999,73
10102030,1010203000218,44836157,1,,1,1,3,3,,53,73
10102031,1010203100172,44835884,1,,1,1,3,3,,61,73
10102033,1010203300083,44836026,1,,2,2,3,3,,36,73
10102034,1010203400061,44836027,1,,2,2,3,3,,65,73
10102034,1010203400061,44836030,1,,1,1,3,3,,37,73
10102035,1010203501204,44836052,2,6,,,4,4,,,
10102036,1010203600055,44836190,1,,1,1,3,3,,45,73
10102037,1010203700049,44836156,2,6,,,4,4,,,
10102038,1010203800059,44836033,1,,2,2,3,3,,999,73
10102039,1010203900083,44836035,1,,1,1,3,3,,999,73
10102040,1010204000061,44836053,1,,1,1,3,3,,57,73
10102041,1010204100028,44836055,1,,1,1,3,3,,52,73
10102042,1010204200033,44836056,1,,2,2,3,3,,81,73
10102044,1010204401253,44836063,1,,2,2,3,3,,55,130
10102045,1010204500061,44836085,1,,1,1,3,3,,39,73
10102046,1010204600239,44836239,1,,3,3,3,3,,999,174
10102047,1010204700218,44836067,1,,2,2,3,3,,13,73
10102048,1010204800050,44836069,1,,1,1,3,3,,29,73
10102049,1010204901205,44836073,2,6,,,4,4,,,
10102050,1010205000218,44836074,1,,1,1,3,3,,62,73
10102051,1010205100009,44836076,1,,2,2,3,3,,36,73
10102052,1010205200051,44836080,1,,2,2,3,3,,48,73
10102053,1010205300179,44836081,1,,2,2,3,3,,53,73
10102056,1010205600020,44836094,1,,1,1,3,3,,40,73
10102057,1010205700061,44836095,1,,2,2,3,3,,90,73
10102058,1010205800218,44836098,1,,2,2,3,3,,30,73
10102059,1010205900539,44836100,1,,2,2,3,3,,21,73
10102060,1010206000251,44836324,2,6,,,4,4,,,
10102061,1010206101243,44836189,2,6,,,4,4,,,
10102062,1010206200218,44836110,1,,2,2,3,3,,999,73
10102063,1010206300218,44836113,1,,2,2,3,3,,34,73
10102064,1010206400179,44836326,2,6,,,4,4,,,
10102065,1010206501249,44836116,1,,1,1,3,3,,38,73
10102066,1010206601244,44836117,2,6,,,4,4,,,
10102067,1010206700083,44836119,1,,2,2,3,3,,999,73
10102068,1010206800218,44836122,1,,2,2,3,3,,67,73
10102069,1010206900061,44836125,1,,1,1,3,3,,30,73
10102070,1010207001188,44836127,1,,2,2,3,3,,62,73
10102072,1010207200083,44836158,1,,1,1,3,3,,999,73
10102073,1010207300218,44836137,1,,2,2,3,3,,37,73
10102074,1010207400061,44836140,1,,1,1,3,3,,70,73
10102074,1010207400061,44836142,1,,2,2,3,3,,43,73
10102075,1010207500218,44836144,1,,2,2,3,3,,29,73
10102076,1010207600218,44836146,1,,2,2,3,3,,27,73
10102077,1010207700083,44836147,1,,2,2,3,3,,999,73
10102078,1010207800019,44836160,2,6,,,4,4,,,
10102079,1010207900218,44836150,1,,2,2,3,3,,38,73
10102080,1010208000083,44836152,1,,1,1,3,3,,60,73
10102081,1010208100013,44836155,1,,2,2,3,3,,24,73
10102082,1010208200179,44836163,1,,1,1,3,3,,60,73
10102083,1010208301205,44836168,2,6,,,4,4,,,
10102084,1010208401249,44836169,1,,1,1,3,3,,42,73
10102085,1010208500050,44836170,1,,1,1,3,3,,999,73
10102086,1010208600061,44836171,1,,2,2,3,3,,34,73
10102087,1010208700218,44836173,1,,1,1,3,3,,9,73
10102087,1010208700218,44836174,1,,2,2,3,3,,7,73
10102088,1010208800061,44836177,1,,1,1,3,3,,13,73
10102089,1010208900085,44836179,1,,1,1,3,3,,64,73
10102090,1010209001243,44836184,2,6,,,4,4,,,
10102091,1010209100083,44836185,1,,1,1,3,3,,74,73
10102092,1010209200041,44836220,2,6,,,4,4,,,
10102093,1010209300083,44836194,1,,1,1,3,3,,999,73
10102094,1010209400050,44836196,1,,2,2,3,3,,38,73
10102095,1010209501205,44836197,2,6,,,4,4,,,
10102096,1010209600041,44836199,1,,1,1,3,3,,39,73
10102097,1010209700038,44836200,1,,2,2,3,3,,48,73
10102098,1010209800083,44836201,1,,2,2,3,3,,999,73
10102099,1010209901243,44836204,2,6,,,4,4,,,
10102100,1010210001188,44836205,1,,1,1,3,3,,65,73
10102101,1010210100052,44836206,1,,1,1,3,3,,22,73
10102102,1010210200051,44836207,1,,2,2,3,3,,999,73
10102103,1010210300218,44836208,1,,2,2,3,3,,40,73
10102104,1010210401188,44836211,1,,1,1,3,3,,45,73
10102105,1010210500050,44836212,1,,1,1,3,3,,36,73
10102106,1010210600118,44836216,1,,1,1,3,3,,999,73
10102107,1010210700050,44836219,2,6,,,4,4,,,
10102108,1010210800041,44836222,1,,1,1,3,3,,39,73
10102109,1010210900041,44836223,1,,1,1,3,3,,22,73
10102110,1010211000050,44836224,1,,1,1,3,3,,44,73
10102110,1010211000050,44836373,2,6,,,4,4,,,
10102111,1010211100041,44836225,1,,1,1,3,3,,35,73
10102112,1010211200009,44836227,1,,2,2,3,3,,31,73
10102113,1010211300083,44836231,1,,2,2,3,3,,999,73
10102114,1010211400034,44836323,2,6,,,4,4,,,
10102115,1010211500083,44836233,1,,1,1,3,3,,33,73
10102116,1010211600218,44836234,1,,2,2,3,3,,999,73
10102117,1010211700116,44836236,1,,1,1,3,3,,88,73
10102118,1010211800169,44836237,1,,1,1,3,3,,18,73
10102119,1010211901186,44836242,1,,1,1,3,3,,48,73
10102120,1010212000061,44836248,1,,1,1,3,3,,53,73
10102121,1010212100020,44836251,1,,2,2,3,3,,999,73
10102122,1010212200169,44836252,1,,1,1,3,3,,23,73
10102123,1010212300034,44836364,2,6,,,4,4,,,
10102124,1010212400104,44836256,1,,1,1,3,3,,78,73
10102125,1010212500043,44836260,1,,1,1,3,3,,999,73
10102126,1010212600218,44836261,1,,2,2,3,3,,77,73
10102127,1010212700083,44836263,1,,2,2,3,3,,63,73
10102128,1010212800085,44836264,1,,1,1,3,3,,52,73
10102129,1010212900041,44836265,1,,2,2,3,3,,68,73
10102130,1010213000179,44836273,1,,1,1,3,3,,33,73
10102132,1010213200218,44836279,1,,2,2,3,3,,26,73
10102133,1010213300085,44836368,1,,2,2,3,3,,999,73
10102134,1010213400218,44836281,1,,2,2,3,3,,56,73
10102135,1010213500061,44836284,1,,2,2,3,3,,26,70
10102136,1010213600218,44836287,1,,2,2,3,3,,92,73
10102137,1010213700020,44836292,1,,1,1,3,3,,76,73
10102138,1010213800218,44836293,1,,1,1,3,3,,38,73
10102140,1010214000179,44836303,1,,1,1,3,3,,28,73
10102142,1010214200052,44836307,1,,2,2,3,3,,40,73
10102143,1010214300218,44836308,1,,2,2,3,3,,45,73
10102144,1010214400218,44836311,1,,2,2,3,3,,76,73
10102146,1010214600239,44836314,1,,1,1,3,3,,27,73
10102147,1010214700239,44836315,1,,1,1,3,3,,999,73
10102148,1010214800174,44836316,1,,2,2,3,3,,73,73
10102149,1010214900061,44836318,1,,2,2,3,3,,67,73
10102150,1010215000038,44836332,1,,1,1,3,3,,29,73
10102151,1010215100218,44836333,1,,2,2,3,3,,25,73
10102152,1010215200041,44836334,1,,1,1,3,3,,24,73
10102153,1010215300083,44836335,1,,2,2,3,3,,999,73
10102154,1010215400118,44836338,1,,1,1,3,3,,41,73
10102155,1010215500116,44836370,1,,2,2,3,3,,999,73
10102156,1010215600177,44836339,1,,1,1,3,3,,45,73
10102157,1010215701239,44836342,1,,2,2,3,3,,13,73
10102158,1010215800218,44836344,1,,1,1,3,3,,51,73
10102159,1010215900038,44836345,1,,1,1,3,3,,31,73
10102160,1010216000080,44836415,1,,2,2,3,3,,93,73
10102161,1010216100083,44836349,1,,1,1,3,3,,999,73
10102162,1010216201188,44836351,1,,1,1,3,3,,27,73
10102163,1010216301239,44836353,1,,1,1,3,3,,41,73
10102164,1010216400083,44836357,1,,2,2,3,3,,62,73
10102165,1010216501215,44836376,2,6,,,4,4,,,
10102166,1010216600104,44836377,1,,2,2,3,3,,50,73
10102167,1010216700218,44836379,1,,2,2,3,3,,27,73
10102168,1010216800082,44836383,1,,3,3,3,3,,999,174
10102169,1010216900218,44836384,1,,1,1,3,3,,40,73
10102170,1010217000041,44836414,2,6,,,4,4,,,
10102171,1010217100110,44836387,1,,2,2,3,3,,51,73
10102174,1010217400028,44836399,1,,2,2,3,3,,43,73
10102175,1010217500059,44836400,1,,1,1,3,3,,86,73
10102176,1010217600218,44836522,1,,2,2,3,3,,5,73
10102177,1010217700021,44836404,1,,1,1,3,3,,47,73
10102178,1010217800083,44836405,1,,1,1,3,3,,66,73
10102179,1010217900092,44836407,1,,2,2,3,3,,13,73
10102181,1010218100048,44836418,1,,2,2,3,3,,61,73
10102183,1010218301218,44836425,1,,1,1,3,3,,61,73
10102184,1010218400009,44836426,1,,2,2,3,3,,28,73
10102186,1010218600048,44836472,2,6,,,4,4,,,
10102187,1010218700083,44836449,1,,1,1,3,3,,999,73
10102188,1010218800020,44836516,1,,1,1,3,3,,999,73
10102190,1010219000060,44836460,1,,2,2,3,3,,34,73
10102191,1010219100007,44836461,1,,2,2,3,3,,36,73
10102192,1010219200007,44836464,1,,2,2,3,3,,22,73
10102193,1010219301188,44836466,1,,1,1,3,3,,27,73
10102194,1010219400009,44836470,1,,2,2,3,3,,43,73
10102195,1010219500254,44836474,1,,2,2,3,3,,21,73
10102196,1010219600110,44836475,1,,1,1,3,3,,999,73
10102197,1010219700083,44836476,1,,2,2,3,3,,74,73
10102198,1010219800245,44836693,2,6,,,4,4,,,
10102199,1010219900061,44836481,1,,1,1,3,3,,15,73
10102201,1010220100218,44836492,1,,2,2,3,3,,28,73
10102202,1010220200179,44836493,1,,2,2,3,3,,53,73
10102203,1010220300061,44836494,1,,2,2,3,3,,51,73
10102205,1010220500238,44836507,1,,2,2,3,3,,40,73
10102206,1010220600177,44836509,1,,2,2,3,3,,66,73
10102207,1010220700110,44836510,1,,2,2,3,3,,999,73
10102208,1010220800085,44836511,1,,1,1,3,3,,999,73
10102209,1010220900218,44836524,1,,2,2,3,3,,73,73
10102210,1010221000083,44836527,1,,1,1,3,3,,999,73
10102211,1010221100218,44836529,1,,1,1,3,3,,23,73
10102212,1010221200116,44836533,1,,1,1,3,3,,54,73
10102213,1010221300048,44836534,1,,1,1,3,3,,65,73
10102214,1010221400083,44836535,1,,1,1,3,3,,55,73
10102215,1010221500239,44836537,1,,1,1,3,3,,40,73
10102216,1010221600034,44836539,2,6,,,4,4,,,
10102218,1010221801188,44836660,1,,1,1,3,3,,999,73
10102219,1010221900007,44839276,1,,1,1,3,3,,12,73
10102221,1010222100016,44836551,2,6,,,4,4,,,
10102223,1010222300218,44836553,1,,2,2,3,3,,999,73
10102224,1010222400083,44836556,1,,1,1,3,3,,70,73
10102225,1010222500041,44836557,1,,2,2,3,3,,44,73
10102226,1010222600218,44836559,1,,2,2,3,3,,72,73
10102227,1010222700061,44836562,1,,1,1,3,3,,999,73
10102228,1010222800218,44836563,1,,2,2,3,3,,29,73
10102229,1010222900061,44836566,1,,2,2,3,3,,51,73
10102231,1010223100083,44836569,1,,2,2,3,3,,64,73
10102232,1010223200218,44836570,1,,2,2,3,3,,999,73
10102233,1010223300083,44836572,1,,2,2,3,3,,76,73
10102234,1010223400083,44836717,2,6,,,4,4,,,
10102235,1010223500083,44836575,1,,2,2,3,3,,45,73
10102236,1010223600061,44836576,1,,2,2,3,3,,50,73
10102237,1010223700104,44836577,1,,1,1,3,3,,55,73
10102238,1010223800218,44836582,1,,1,1,3,3,,999,73
10102239,1010223900041,44836585,1,,1,1,3,3,,39,73
10102240,1010224000218,44836587,1,,2,2,3,3,,39,73
