ID_CI,NTRA_CI,FHA_DE_INI,HRA_DE_INI,RMEN_DE_HCHOS
45359,CI-1-2025-209,2025-09-02,15:14:00,"DETENIDO POR POSESION DE DROGA"
45363,CI-1-2025-210,2025-09-03,13:04:00,FRAUDE
45365,CI-1-2025-211,2025-09-04,10:31:00,"ALLANAMIENTO DE MORADA Y AMENAZAS"
45369,CI-1-2025-212,2025-09-04,19:50:00,INCUMPLIMIENTO
45373,CI-1-2025-213,2025-09-07,01:09:00,"NARCOMENUDEO "
45379,CI-1-2025-214,2025-09-08,19:22:00,"SE INICIA POR EL DELITO DE LESIONES A TITULO DOLOSO"
46381,CI-1-2025-215,2025-09-10,14:55:00,INCUMPLIMIENTO
47385,CI-1-2025-216,2025-09-12,08:20:00,"OPERACIONES CON RECURSOS DE PROCEDENCIA ILICITA"
48391,CI-1-2025-217,2025-09-14,05:55:00,"ALLANAMIENTO DE MORADA"
48392,CI-1-2025-218,2025-09-14,10:29:00,"LESIONES CALIFICADAS"
48395,CI-1-2025-219,2025-09-14,20:23:00,"LESIONES DOLOSAS Y AMENAZAS"
49396,CI-1-2025-220,2025-09-15,19:24:00,"VENTA ILÍCITA DE ALCOHOL"
50396,CI-1-2025-221,2025-09-17,09:58:00,"ALLANAMIENTO DE MORADA"
50398,CI-1-2025-222,2025-09-17,20:42:00,"DELITOS EN CONTRA DE OS ANIMALES"
50413,CI-1-2025-223,2025-09-21,14:42:00,"HOMICIDIO EN GRADO DE TENTATIVA"
50419,CI-1-2025-224,2025-09-22,19:49:00,"INCUMPLIMENTO OBLIGACIÓN ALIMENTARIA"
50420,CI-1-2025-225,2025-09-23,10:26:00,DESPOJO
50425,CI-1-2025-226,2025-09-23,21:30:00,"OMISION DE CUIDADO"
50428,CI-1-2025-227,2025-09-25,09:23:00,"VIOLENCIA FAMILIAR"
50429,CI-1-2025-228,2025-09-25,12:11:00,"SE INICIA POR EL DELITO DE LESIONES CALIFICADAS "
53438,CI-1-2025-229,2025-09-29,11:03:00,"ALLANAMIENTO Y ABUSO SEXUAL"
439617,CI-2-2025-1312,2025-09-01,10:49:00,"ROBO A  CASA  HABITACION"
439664,CI-2-2025-1314,2025-09-01,23:40:00,NARCOMENUDEO
439665,CI-2-2025-1315,2025-09-01,15:15:00,"HECHO DE TRANSITO"
439666,CI-2-2025-1317,2025-09-01,16:25:00,NARCOMENUDEO
439722,CI-2-2025-1321,2025-09-02,13:11:00,NARCOMENUDEO
439741,CI-2-2025-1322,2025-09-02,14:32:00,"SE RECIBE EL REPORTE DE UN FALLECIMIENTO EN LA LOCALIDAD MELCHOR OCAMPO"
439745,CI-2-2025-1323,2025-09-02,15:42:00,"DELITO DE OPERACIONES CON RECURSOS DE PROCEDENCIA ILICITA "
439798,CI-2-2025-1326,2025-09-03,12:38:00,"ROBO A COMERCIO"
439808,CI-2-2025-1327,2025-09-03,17:15:00,"ROBO CON VIOLENCIA"
439814,CI-2-2025-1328,2025-09-03,19:12:00,"ROBO A COMERCIO"
439816,CI-2-2025-1329,2025-09-03,21:04:00,"SE PONE A DISPOCISION A PERSONA POR EL DELITO DE POSESION SIMPLE"
439817,CI-2-2025-1330,2025-09-03,20:18:00,"HECHO DE TRANSITO"
439859,CI-2-2025-1332,2025-09-04,11:46:00,"OPERACIONES CON RECURSOS DE PROCEDENCIA ILICITA "
439920,CI-2-2025-1339,2025-09-05,11:20:00,"VIOLACION EQUIPARADA"
439943,CI-2-2025-1340,2025-09-05,17:39:00,"ROBO A COMERCIO"
439948,CI-2-2025-1341,2025-09-05,19:56:00,XXXX
439956,CI-2-2025-1343,2025-09-06,02:15:00,"SE PONE A DISPOSICION POR EL DELITO DE ULTRAJES A LA AUTORIDAD Y DAÑOS A TITULO DOLOSO"
439960,CI-2-2025-1344,2025-09-06,09:56:00,"ROBO A CASA HABITACION"
439970,CI-2-2025-1345,2025-09-06,14:57:00,"HECHO DE TRANSITO"
439984,CI-2-2025-1347,2025-09-06,22:11:00,"REFIERE QUE HAY UNA PERSONA MUERTA, TODA VEZ QUE UN VEHICULO LA IMPACTÓ "
